"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
PC 36:2,C44 H84 N O8 P,785.5949,7.60,,7849182.84681861,6258054.97317904,6125779.98751903,9054966.30030035,9545844.02162122,7681180.03569586
PC 34:3,C42 H78 N O8 P,755.5479,5.50,,5481084.84945538,2190457.81974069,1449774.73859062,6170742.67901806,7759970.0745203,10283075.8724639
TG 50:2,C53 H98 O6,830.7378,13.29,,7506141.09879091,4373352.08684618,8634651.29609989,15710932.6258746,14750477.5538949,15742807.9971003
PE 40:6,C45 H78 N O8 P,791.5485,7.65,,87848608.6127367,37938782.0726639,52926006.2692839,75551909.1355322,91001415.8668784,100742164.177117
PC 36:1,C44 H86 N O8 P,787.6103,9.31,,8399052.2242602,5107031.45175979,5533468.8364472,9262662.34957641,9076565.20727588,10964700.552067
TG 52:2,C55 H102 O6,858.7691,13.66,,31529221.0212822,9748806.48111135,27961587.8345286,49745587.8257952,57146591.7458161,47742774.4513756
PC 40:8,C48 H80 N O8 P,829.5641,5.46,,4202383.05578252,1198726.81060148,1419482.83875813,3048861.61352768,3082566.57136896,5294735.11233132
PC 38:3,C46 H86 N O8 P,811.6101,7.99,,3392315.85878698,1170656.10449786,1008908.72213424,6314011.13938618,3860323.13009515,6401249.35632306
TG 15:0_18:1(d7)_15:0,C51 H89 D7 O6,811.7661,13.26,,20089919.2120065,15218645.9236488,14842988.499031,13792605.8920031,14186656.4146789,14021188.6290087
Cer_NS d18:1_24:1,C42 H81 N O3,647.6242,11.79,,2728712.7157923,1587305.99874955,1261474.39145349,2277215.29814137,1439874.66372214,1952896.2999229
TG 56:6,C59 H102 O6,906.7684,13.16,,5703836.81735665,1593913.91883281,3723320.48067826,6382152.26507006,5257420.43462392,8841898.62183629
PC 16:1_20:4,C44 H78 N O8 P,779.5476,5.39,,2329475.0376782,811832.44235743,559881.516539396,2455513.92544231,3563533.08415204,4013852.16099277
PE 18:1_22:6,C45 H76 N O8 P,789.5413,6.38,,34596801.6380082,14706323.5066694,19216655.328611,29705477.3084015,41497968.2144028,34749029.0168001
Cer_NS d18:1_22:0,C40 H79 N O3,621.6087,11.79,,1934698.55282021,1224044.81407046,1041249.43756119,2196456.33953975,606814.551395712,2643531.85228047
SM d34:0,C39 H81 N2 O6 P,704.5846,6.33,,5510655.03170231,3219385.43090791,2657186.52148794,351772.618828192,383244.501428441,377104.70813537
TG 16:0_18:0_20:6,C57 H98 O6,878.7374,12.90,,6458917.23306927,1935723.30409584,3987824.05647055,8262704.81657124,5961113.00292536,6453265.03049266
PC 36:5,C44 H78 N O8 P,779.5479,5.60,,1635750.89328141,682329.366572361,963282.492647188,1129596.57993329,2981546.94921091,2863675.58867645
PE 16:0_18:2,C39 H74 N O8 P,715.5166,6.63,,2342932.3824752,1891533.86627805,1471228.90730355,3341491.04166549,2663193.88459757,4946564.93697866
EtherPC 34:1e,C42 H84 N O7 P,745.5988,8.44,,7347106.14032483,3324046.75395629,2560211.55702311,685480.084178909,623560.683345272,828487.698303038
PC 40:5,C48 H86 N O8 P,835.6098,7.81,,2854724.98680044,1088441.12112436,1616446.75288786,3441708.52455552,3834520.02158837,5448471.58707098
PC 38:4,C46 H84 N O8 P,809.5944,6.93,,2032847.88943393,883209.641034995,,2789227.0784768,2862675.5331088,2813171.06317942
TG 16:1_18:2_18:2,C55 H96 O6,852.7220,12.78,,4573411.1240879,946841.062214411,1674976.32558852,7733315.5089277,4484339.75246981,6047459.17742091
PE 18:0_18:2,C41 H78 N O8 P,743.5477,8.21,,2229391.68104814,1353901.22050321,1276647.28426439,2534399.11426146,2798452.03476253,4712514.66751011
PC 34:0,C42 H84 N O8 P,761.5945,9.00,,3469070.5629928,2614772.8353034,2493046.86821506,1698726.48372691,1618805.44154471,2287386.27755155
PC 37:4,C45 H82 N O8 P,795.5791,6.88,,1782088.454584,661703.604354566,548754.214574522,1768647.99195667,2153697.77760337,3289439.70241587
SM d42:3,C47 H91 N2 O6 P,810.6620,9.54,,7900402.43321887,4321743.47676998,3296939.27315774,1023309.37147016,958903.748271114,1152946.1522524
TG 56:6,C59 H102 O6,906.7683,13.17,,5706555.75764247,537070.846766513,3722118.38470002,1929441.56086896,5257420.43462392,8841898.62183629
PC 18:2_20:2,C46 H84 N O8 P,809.5927,6.80,,2105304.4421848,,,1752195.97558408,1465090.14891707,2183376.977251
TG 18:1_18:2_20:1,C59 H106 O6,910.7996,13.68,,2062391.03463726,445298.993005881,1280772.88173962,3332880.90661407,2972582.20277307,3603201.20801938
TG 16:0_18:1_22:4,C59 H104 O6,908.7839,13.43,,1865031.4983347,467014.509287659,1826006.21929471,2654958.12683849,1438158.60763742,2804812.3625175
PC 40:7,C48 H82 N O8 P,831.5786,5.90,,1272612.74174564,462985.561046242,588047.182363822,1082579.69805899,1026856.537628,1859505.95820484
Cer_NS d18:1_24:0,C42 H83 N O3,649.6395,12.07,,1408459.40673767,1085457.74654504,944048.572893379,1534320.76237542,862002.767204621,2206332.23848465
PC 38:7,C46 H78 N O8 P,803.5471,5.23,,1219174.4930819,300550.334046551,422064.908942221,1097076.10127186,1635004.00006189,2131350.22870543
