"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
PE 38:3,C43 H80 N O8 P,769.5629,8.78,,499961.295657382,259843.267056611,290313.532152316,582243.490832926,423965.429376909,882425.013833052
PC 38:7,C46 H78 N O8 P,803.5473,5.48,,576515.498345713,,207683.838520871,244533.296874312,,
PC 35:1,C43 H84 N O8 P,773.5945,8.26,,488897.719868592,387440.558699044,360663.007503209,661672.364575653,479444.107624052,808319.714158944
TG 52:6,C55 H94 O6,850.7049,12.61,,260121.12507759,36639.0741376205,244358.023085596,397834.178198161,768948.75730151,964558.162362782
PC 40:4,C48 H88 N O8 P,837.6250,9.67,,309470.506417524,170096.279321853,142046.396897521,745165.784946952,147289.654821636,1508385.62920529
TG 12:0_12:0_12:0,C39 H74 O6,638.5507,11.84,,501815.703995153,512227.002527629,434130.722192622,471787.824819606,495816.636181632,437416.018581274
DG 18:1_18:2,C39 H70 O5,618.5233,9.93,,1541047.94421884,480670.086070441,512352.790550054,945337.853096466,1158528.68340893,894153.490955131
PS 16:0_22:6,C44 H74 N O10 P,807.5066,5.17,,454142.154224794,227955.13805402,213531.622591705,425785.308268664,297536.749745727,420453.843146924
TG 12:0_12:0_16:0,C43 H82 O6,694.6137,12.36,,474176.644566239,324384.403266047,530049.073060906,399421.256064892,480685.653165062,463789.773017538
SM d40:2,C45 H89 N2 O6 P,784.6460,9.45,,782448.774739355,369301.182221135,337330.640126391,434519.976253003,144074.16820576,664347.572173316
EtherPC 14:0e_4:0,C26 H54 N O7 P,523.3647,2.54,,311970.41794057,180500.229598151,110557.798640712,155691.142657923,115870.688936907,137075.989472271
PC 42:8,C50 H84 N O8 P,857.5915,7.80,,335955.490913656,126220.843050791,155070.269647959,343506.765530694,330009.126735366,477565.194939484
BMP 18:1_18:2,C42 H77 O10 P,772.5265,5.00,,928313.547711318,384069.644547501,343820.564519066,,,
LPC 22:6,C30 H50 N O7 P,567.3329,1.43,,445747.604916375,137552.396242238,176584.144135239,100716.552860178,123200.130974617,187232.804116373
PC 37:2,C45 H86 N O8 P,799.6095,8.82,,255301.002032544,238368.150192795,201872.724673395,596718.74623196,299147.944233649,809967.280017257
LPE 18:1(d7),C23 H39 D7 N O7 P,486.3456,2.12,,232650.434406722,175624.605681352,156990.870500696,144731.711395147,161782.462320528,175856.881163184
PC 38:7,C46 H78 N O8 P,803.5466,5.10,,1111991.42000703,,77597.7045098337,1103406.92031706,250473.564056911,415618.267641318
PS 16:0_20:4,C42 H74 N O10 P,783.5057,5.31,,518962.934485475,215398.753116961,230091.27808904,591780.245888329,233549.980858036,377443.351733196
PC 39:4,C47 H86 N O8 P,823.6095,8.57,,294428.661586826,137843.664428304,194203.057303778,502962.009740971,320225.292096176,721293.178853656
PE 18:0_22:5,C45 H80 N O8 P,793.5627,8.80,,442394.383317276,109550.670507987,309527.015022216,,,408498.789070205
TG 12:0_14:0_16:0,C45 H86 O6,722.6438,12.64,,443955.144302958,539557.715689459,543496.708372114,404180.337141679,583174.031341951,390122.955475713
PE 18:2_20:4,C43 H74 N O8 P,763.5171,5.90,,895614.138609233,98720.9941741157,528191.419353376,748362.534303196,993933.438874024,6887174.63745971
TG 53:3,C56 H102 O6,870.7670,13.50,,744899.428807499,276872.50564819,625600.684321406,1317744.56917782,1608414.28890866,
TG 18:2_20:4_22:6,C63 H98 O6,950.7364,12.47,,311203.291756304,63022.8591027448,115602.023649311,225378.47815553,269970.203322035,489429.500469077
EtherPC 38:4e,C46 H86 N O7 P,795.6139,8.83,,1138776.25271372,308262.614210262,342272.486487439,,161752.057190714,
DG 16:0_20:4,C39 H68 O5,616.5076,9.27,,660486.738874703,316414.07213988,400140.30703892,1187927.03097673,842840.415807528,811895.639759986
ACar 16:0,C23 H45 N O4,399.3362,1.65,,281054.927217037,102287.096358635,87158.8467549894,88798.8902640735,83103.6874857527,116571.167963284
SM d32:1,C37 H75 N2 O6 P,674.5366,4.97,,412385.183412246,209554.663899919,165868.435589987,24307.5614273542,40731.2366070451,28634.6992950248
SM d41:1,C46 H93 N2 O6 P,800.6782,11.51,,6013923.71544117,148679.089112251,113506.652966742,154505.280329551,1550686.49846759,149902.785173172
PC 18:2_18:3,C44 H78 N O8 P,779.5473,5.28,,521995.169230498,799211.743751371,861211.92616316,2467397.84066858,631236.816931944,1235131.40734908
TG 54:7,C57 H96 O6,876.7209,12.64,,974013.493217689,294185.784475107,434139.107055524,588371.256588991,702683.863147055,957234.157226646
TG 16:0_18:0_18:0,C55 H106 O6,862.7988,14.72,,474232.766658648,386052.728288616,468205.319203826,428288.494394576,400162.405930194,453612.1185112
CE 18:1(d7),C45 H71 D7 O2,657.6453,14.24,,249380.35858527,149405.870064975,171568.622945027,173968.323650648,191032.8422681,170321.434549439
TG 58:11,C61 H96 O6,924.7203,12.39,,,44087.0872912984,110388.079492955,,321577.153162586,571775.981183948
DG 16:0_22:6,C41 H68 O5,640.5079,8.78,,664960.049042689,179349.613507049,265167.516747274,841594.639216375,795296.798702057,574714.311331624
Cer_NS d18:1_24:2,C42 H79 N O3,645.6106,11.48,,6901.1486313479,332925.450214668,231847.480531077,447048.803087214,307315.341666961,56270.4701068614
Cer_NS d18:1_20:0,C38 H75 N O3,593.5769,11.32,,310306.865867802,134307.490088528,127890.927663146,172854.220610935,73268.4558014439,152549.285648901
ACar 18:1,C25 H47 N O4,425.3513,1.83,,337082.003758853,82453.9577547489,69551.9912765397,139454.858203477,105146.213965337,108984.183511649
TG 16:0_17:0_18:1,C54 H102 O6,846.7672,13.88,,355915.945929185,,,543598.619228239,576817.973831005,
LPC 20:0,C28 H58 N O7 P,551.3969,3.54,,166584.377527786,107501.526180913,57297.070405177,98945.9343433421,17680.7731687919,124466.917598053
PC 36:6,C44 H76 N O8 P,777.5315,5.11,,111155.655094983,42335.1408174398,64015.4604664795,82055.9621659608,152691.543562958,167363.078697104
TG 16:0_16:0_17:0,C52 H100 O6,820.7520,13.82,,360329.089979244,404611.831471922,283756.632770066,338207.763195798,337534.740073299,446055.113379028
SM d39:1,C44 H89 N2 O6 P,772.6460,10.22,,489389.789171595,302522.785177176,256820.486627751,302864.223048311,173620.470571928,403758.789915501
PC 38:3,C46 H86 N O8 P,811.6095,8.97,,241717.767394617,83817.7789033571,156495.209871869,138568.66249589,325190.989344961,160087.104775832
LPE 16:0,C21 H44 N O7 P,453.2865,1.97,,168657.550612957,98531.8120467253,83623.1210761125,110899.873440751,80073.6390847901,130832.816775359
PC 37:3,C45 H84 N O8 P,797.5922,7.58,,167214.113323973,101403.081528698,94235.7276812742,203039.75362757,202307.48745576,758516.472655264
EtherPC 36:2e,C44 H86 N O7 P,771.6145,9.10,,547550.709520608,212216.289808709,142512.107809586,65268.029650681,319685.836121433,
TG 14:0_14:1_16:1,C47 H86 O6,746.6430,12.45,,387940.411127628,406386.672779445,409662.441849524,430455.957668363,401534.170385753,417565.972904143
TG 18:0_18:0_18:0,C57 H110 O6,890.8293,15.40,,509451.389440016,505268.14417193,464570.726204977,468518.800288964,475406.121197567,456215.706102249
SM d41:2,C46 H91 N2 O6 P,798.6614,10.27,,436212.630102087,268824.294685249,218169.789658477,263612.952993065,189053.75863372,238534.387614781
TG 14:0_18:2_22:6,C57 H94 O6,874.7040,12.51,,90660.3500621444,17713.2803264969,91153.4685496373,260798.785150032,444902.371463428,616310.444504252
PE 40:4,C45 H82 N O8 P,795.5785,9.48,,463010.220391154,205013.901122229,202411.77681838,177560.901455067,262454.30587741,315650.810936245
Cer_NS d18:1_22:1,C40 H77 N O3,619.5925,11.35,,178339.894709229,68479.9537002567,68470.0878029061,229782.401399287,37753.6253885998,132641.013179387
LPC 24:0,C32 H66 N O7 P,607.4593,4.92,,223535.439801776,114207.820736202,84829.2458585598,24245.5483137296,19439.2036565619,37294.0109730908
BMP 22:6_22:6,C50 H75 O10 P,866.5102,4.33,,267665.193719571,73223.4673986281,80999.5251547488,60990.8504457081,88630.4772183381,85398.3975885787
DG 18:2_18:2,C39 H68 O5,616.5077,8.29,,544400.80596921,199264.247252109,162087.696684614,356571.538280501,374246.118140803,483879.216053002
BMP 18:2_22:6,C46 H75 O10 P,818.5105,4.45,,417829.845728441,133316.317218114,114907.22012743,49970.4804247845,38139.884308231,47613.4860903463
TG 12:0_14:0_16:1,C45 H84 O6,720.6279,12.40,,293724.202941293,304405.801510003,268842.211704723,349267.152608908,264543.820844534,338526.485420843
ACar 20:0,C27 H53 N O4,455.4013,3.27,,209801.338693478,121079.062163135,144922.388692861,207629.133308778,224873.47826666,135519.533852331
ACar 20:1,C27 H51 N O4,453.3832,2.63,,124501.659373926,37204.5003362711,24565.7950293395,70851.8894190622,71387.0988150635,89871.6993837065
LPC 0:0_20:3,C28 H52 N O7 P,545.3487,1.63,,132445.763370593,80611.4778672989,62878.1809464806,89887.5451658138,67582.6215672627,119749.403349624
TG 18:0_18:1_22:4,C61 H108 O6,936.8139,13.71,,,,,597642.002534658,,573180.457111263
PC 42:6,C50 H88 N O8 P,861.6244,9.19,,123607.657433087,86161.8955759776,86048.4668163204,246222.77124194,50606.6910240494,566818.571780031
EtherPC 40:4e,C48 H90 N O7 P,823.6506,11.18,,240656.746579408,159990.663712207,104053.68501852,,,
LPE 18:1,C23 H46 N O7 P,479.3029,2.14,,95961.5004582552,60401.94914143,45033.1692019436,78376.923374445,61834.245989204,109174.111877049
PE 36:1,C41 H80 N O8 P,745.5629,9.76,,297265.296123381,230041.913817102,222639.827022598,268027.104624505,220366.00816343,315809.00142978
LPC 19:0,C27 H56 N O7 P,537.3817,3.16,,118470.065807198,77081.6888201294,49702.0898360806,69838.910983022,33322.0775899872,64519.8246963077
PC 41:6,C49 H86 N O8 P,847.6095,8.18,,96307.7773719105,46784.9100616326,71050.3056095084,150762.18129574,102169.694628967,330887.241792526
PC 38:2,C46 H88 N O8 P,813.6254,9.47,,182807.732259246,,,305665.397288746,151133.754005731,244263.794411077
PE 36:5,C41 H72 N O8 P,737.5057,5.83,,3631735.77572356,2540668.20290592,2598976.93229539,2395723.57046348,2149112.01990855,5008822.54149791
EtherPC 34:0e,C42 H86 N O7 P,747.6145,10.55,,648602.429082698,357006.641065764,254154.344921087,65726.2653175763,64000.0265790232,81389.0883220131
LPC 17:0,C25 H52 N O7 P,509.3490,2.30,,84387.2039885957,75248.0858080527,38860.7331459086,53254.2441052843,47118.5222955074,71397.6935407243
ACar 22:1,C29 H55 N O4,481.4136,3.42,,18734.3002530839,12707.1539510209,,63244.245130335,24919.993557708,53832.0846337955
TG 56:2,C59 H110 O6,914.8305,14.65,,441247.937551189,269794.266571057,350057.509317058,911544.307558894,330030.066633446,1064952.23697488
TG 16:0_18:0_22:0,C59 H114 O6,918.8591,16.22,,265895.605775037,217873.19458511,312915.541464608,283922.702959521,305311.950977465,331520.097301762
TG 54:0,C57 H110 O6,890.8293,15.40,,509451.389440016,505268.14417193,464570.726204977,468518.800288964,475406.121197567,456215.706102249
BMP 18:2_18:2,C42 H75 O10 P,770.5107,4.58,,278792.487115359,,113808.687261943,,,
Cer_NS d18:1_24:0,C42 H83 N O3,649.6395,12.07,,1408459.40673767,1093970.2108758,944048.572893379,1534320.76237542,862002.767204621,2220497.43454945
EtherPC 34:0e,C42 H86 N O7 P,747.6145,10.55,,648602.429082698,357006.641065764,254154.344921087,65726.2653175763,64000.0265790232,81389.0883220131
ACar 18:2,C25 H45 N O4,423.3369,1.38,,57336.6368519628,29249.9869206951,23502.5839974457,43327.1061778226,36580.6909911825,55546.0063354612
LPC 20:1,C28 H56 N O7 P,549.3804,2.85,,52203.1210792267,39780.4476736938,24318.3829151299,67507.7459574095,26522.5365614034,53999.3439434926
LPC 16:1,C24 H48 N O7 P,493.3185,1.34,,43871.0306666834,46355.6025109454,20940.5714323406,41557.5491219251,49872.7872391952,71387.0943953188
PC 19:0_18:2,C45 H86 N O8 P,799.6087,8.48,,24046.8191547915,48812.6920223324,34959.2548087072,148116.335528386,88166.1612098809,196801.254457135
PE 40:4,C45 H82 N O8 P,795.5783,10.00,,256876.990961379,,,,,
TG 16:0_18:1_22:0,C59 H112 O6,916.8446,15.37,,183359.463559008,166647.02149167,156686.094395738,239697.526608598,176790.51382221,302081.112183232
TG 18:1_18:1_22:1,C61 H112 O6,940.8433,14.62,,145365.349825978,82358.7870969586,120501.846547738,328255.661115182,113627.110486464,429436.190691339
TG 16:0_17:0_18:0,C54 H104 O6,848.7817,14.31,,161776.982144453,139659.948378376,,,124014.910855191,132787.848640082
TG 16:0_17:0_18:0,C54 H104 O6,848.7813,14.43,,161754.080147043,113078.696324472,108421.635327444,102166.056733958,106089.031404165,135168.755169174
TG 18:0_18:0_22:0,C61 H118 O6,946.8869,17.19,,417197.113300858,300316.91218112,328125.046095544,396484.77670355,386288.073815215,376122.189516495
TG 18:1_18:1_22:0,C61 H114 O6,942.8586,15.35,,336210.046515315,241969.204721771,265249.500514567,289708.747678605,140119.510930095,364314.460902202

